precinct,registered_voters,ballots_cast,turnout,joseph_r_bidenkamala_d_harris,donald_j_trumpmichael_r_pence,jo_jorgensenjeremy_cohen,don_blankenshipwilliam_mohr,howie_hawkinsangela_walker,rocky_de_la_fuentedarcy_richardson,total_write_in
Ada Township Precinct 1,1316,1090,82.83,589,472,13,1,0,0,0
Ada Township Precinct 2,2428,1979,81.51,1043,886,28,1,5,1,0
Ada Township Precinct 3,1397,1152,82.46,512,592,28,2,3,0,0
Ada Township Precinct 4,1168,982,84.08,402,554,10,0,2,0,0
Ada Township Precinct 5,2112,1765,83.57,682,1032,34,0,1,1,0
Ada Township Precinct 6,1031,824,79.92,421,380,14,0,3,2,0
Ada Township Precinct 7,1189,1016,85.45,539,446,21,1,2,1,0
Ada Township Precinct 8,1202,990,82.36,450,510,15,1,1,1,0
Algoma Township Precinct 1,1355,1096,80.89,344,719,20,2,6,0,0
Algoma Township Precinct 2,1648,1391,84.41,462,902,24,0,1,0,0
Algoma Township Precinct 3,1766,1469,83.18,447,1000,15,1,1,0,0
Algoma Township Precinct 4,1873,1426,76.13,542,857,15,3,2,0,0
Algoma Township Precinct 5,2513,2113,84.08,852,1214,32,1,4,1,0
Alpine Township Precinct 1,1135,876,77.18,336,511,17,1,1,0,0
Alpine Township Precinct 2,1428,997,69.82,507,471,13,0,1,2,0
Alpine Township Precinct 3,2350,1856,78.98,910,898,30,1,4,1,0
Alpine Township Precinct 4,2388,1601,67.04,636,937,12,3,0,3,0
Alpine Township Precinct 5,1053,845,80.25,274,555,8,2,1,0,0
Alpine Township Precinct 6,2173,1056,48.6,725,310,14,1,4,0,0
Bowne Township Precinct 1,2578,2155,83.59,542,1557,32,1,7,0,0
Byron Township Precinct 1,2655,2214,83.39,624,1503,51,5,6,1,0
Byron Township Precinct 2,2872,2492,86.77,806,1621,30,6,3,0,0
Byron Township Precinct 3,3128,1561,49.9,743,772,27,4,9,1,0
Byron Township Precinct 4,2179,1941,89.08,434,1463,28,1,2,2,0
Byron Township Precinct 5,2618,2264,86.48,579,1615,40,1,2,0,0
Byron Township Precinct 6,1585,1333,84.1,471,829,20,2,3,4,0
Byron Township Precinct 7,2610,2117,81.11,746,1311,32,2,1,3,0
Byron Township Precinct 8,2407,2002,83.17,831,1124,23,2,2,1,0
Caledonia Charter Township Precinct 1,1286,994,77.29,424,544,19,0,2,0,0
Caledonia Charter Township Precinct 2,2250,1799,79.96,624,1132,27,3,2,1,0
Caledonia Charter Township Precinct 3,2227,1825,81.95,576,1206,27,5,4,1,0
Caledonia Charter Township Precinct 4,1440,1225,85.07,371,829,14,1,0,0,0
Caledonia Charter Township Precinct 5,2691,2192,81.46,761,1378,26,2,5,3,0
Caledonia Charter Township Precinct 6,2131,1701,79.82,669,996,18,2,3,1,0
Cannon Township Precinct 1,2238,1907,85.21,742,1106,32,2,5,2,0
Cannon Township Precinct 2,2068,1705,82.45,610,1052,26,1,2,0,0
Cannon Township Precinct 3,1663,1409,84.73,579,789,26,0,1,1,0
Cannon Township Precinct 4,2515,2113,84.02,903,1153,27,3,4,0,0
Cannon Township Precinct 5,1649,1363,82.66,502,826,18,3,2,1,0
Cannon Township Precinct 6,2005,1650,82.29,643,961,22,7,4,1,0
Cascade Charter Township Precinct 1,1502,1289,85.82,591,670,13,0,2,0,0
Cascade Charter Township Precinct 2,1798,1516,84.32,718,765,15,0,3,0,0
Cascade Charter Township Precinct 3,1229,1047,85.19,474,543,11,1,3,3,0
Cascade Charter Township Precinct 4,1778,1539,86.56,785,715,26,0,2,1,0
Cascade Charter Township Precinct 5,2468,2084,84.44,910,1120,31,0,4,0,0
Cascade Charter Township Precinct 6,1602,1338,83.52,727,579,16,2,3,1,0
Cascade Charter Township Precinct 7,1413,1074,76.01,516,534,7,0,1,0,0
Cascade Charter Township Precinct 8,1390,1207,86.83,656,529,11,0,0,0,0
Cascade Charter Township Precinct 9,1469,1263,85.98,652,574,19,0,4,1,0
Cascade Charter Township Precinct 10,1432,1221,85.27,498,682,21,3,7,0,0
Cedar Springs City Precinct 1,2551,1562,61.23,558,956,30,6,2,1,0
Courtland Township Precinct 1,2216,1854,83.66,738,1073,24,1,5,1,0
Courtland Township Precinct 2,2502,2070,82.73,656,1363,31,5,5,1,0
Courtland Township Precinct 3,2485,2031,81.73,699,1294,23,2,3,2,0
East Grand Rapids City Ward 1 Precinct 1,1603,1348,84.09,890,433,13,1,1,0,0
East Grand Rapids City Ward 1 Precinct 2,1548,1311,84.69,812,459,12,2,2,2,0
East Grand Rapids City Ward 2 Precinct 3,1625,1366,84.06,886,447,14,2,0,0,0
East Grand Rapids City Ward 2 Precinct 4,1448,1191,82.25,794,368,19,0,2,0,0
East Grand Rapids City Ward 3 Precinct 5,1566,1312,83.78,916,357,24,1,3,0,0
East Grand Rapids City Ward 3 Precinct 6,1609,1358,84.4,956,354,16,1,3,0,0
Gaines Charter Township Precinct 1,2336,1988,85.1,564,1367,34,4,0,0,0
Gaines Charter Township Precinct 2,1777,1423,80.08,664,719,15,2,2,2,0
Gaines Charter Township Precinct 3,2317,1604,69.23,605,945,39,1,4,0,0
Gaines Charter Township Precinct 4,3272,1642,50.18,835,752,21,6,8,2,0
Gaines Charter Township Precinct 5,2159,1318,61.05,787,489,24,1,7,2,0
Gaines Charter Township Precinct 6,2085,1689,81.01,635,1004,32,1,1,0,0
Gaines Charter Township Precinct 7,2822,2345,83.1,855,1437,29,0,3,0,0
Gaines Charter Township Precinct 8,2548,1910,74.96,765,1082,40,3,4,2,0
Gaines Charter Township Precinct 9,1927,1452,75.35,808,624,15,0,0,0,0
Grand Rapids Charter Township Precinct 1,1706,1380,80.89,674,674,13,2,2,0,0
Grand Rapids Charter Township Precinct 2,1103,911,82.59,466,430,9,2,0,0,0
Grand Rapids Charter Township Precinct 3,1904,1585,83.25,901,636,16,2,1,1,0
Grand Rapids Charter Township Precinct 4,2026,1701,83.96,933,721,25,1,5,1,0
Grand Rapids Charter Township Precinct,5,2017,1654,82,896,714,17,0,4,1
Grand Rapids Charter Township Precinct 6,1835,1522,82.94,741,733,27,1,6,1,0
Grand Rapids Charter Township Precinct 7,1087,802,73.78,380,406,6,0,2,2,0
Grand Rapids Charter Township Precinct 8,1996,1652,82.77,884,722,28,1,1,0,0
Grand Rapids Charter Township Precinct 9,1257,1079,85.84,500,553,12,0,3,1,0
Grand Rapids City Ward 1 Precinct 1,2746,1555,56.63,1085,407,34,2,16,2,0
Grand Rapids City Ward 1 Precinct 2,1467,748,50.99,541,183,14,2,5,1,0
Grand Rapids City Ward 1 Precinct 3,2115,1591,75.22,1171,374,23,2,2,1,0
Grand Rapids City Ward 1 Precinct 4,1902,1398,73.5,1102,253,18,3,5,0,0
Grand Rapids City Ward 1 Precinct 5,1465,885,60.41,626,224,15,1,10,1,0
Grand Rapids City Ward 1 Precinct 6,2288,1822,79.63,1003,775,24,2,5,0,0
Grand Rapids City Ward 1 Precinct 8,1319,1084,82.18,668,384,17,1,6,1,0
Grand Rapids City Ward 1 Precinct 9,3094,1273,41.14,916,322,21,0,2,0,0
Grand Rapids City Ward 1 Precinct 10,1821,1310,71.94,832,452,14,3,1,1,0
Grand Rapids City Ward 1 Precinct 11,1772,1459,82.34,751,668,22,4,5,0,0
Grand Rapids City Ward 1 Precinct 12,2224,1162,52.25,819,297,30,1,4,1,0
Grand Rapids City Ward 1 Precinct 13,2455,1359,55.36,939,376,26,3,7,1,0
Grand Rapids City Ward 1 Precinct 14,2301,1625,70.62,1009,551,40,5,7,2,0
Grand Rapids City Ward 1 Precinct 15,2315,934,40.35,766,151,7,3,4,0,0
Grand Rapids City Ward 1 Precinct 16,2456,1110,45.2,898,181,10,1,5,5,0
Grand Rapids City Ward 1 Precinct 17,2537,1488,58.65,934,502,29,5,6,0,0
Grand Rapids City Ward 1 Precinct 18,1323,600,45.35,515,64,8,1,1,3,0
Grand Rapids City Ward 1 Precinct,19,2393,1364,57,892,425,26,3,8,1
Grand Rapids City Ward 1 Precinct 20,2277,1955,85.86,996,900,32,5,3,1,0
Grand Rapids City Ward 1 Precinct 21,1964,1655,84.27,766,833,28,4,11,2,0
Grand Rapids City Ward 1 Precinct 22,819,362,44.2,297,55,7,0,0,0,0
Grand Rapids City Ward 1 Precinct 23,1903,1584,83.24,787,756,16,4,1,1,0
Grand Rapids City Ward 1 Precinct 24,1998,703,35.19,621,66,9,2,4,0,0
Grand Rapids City Ward 2 Precinct 25,1398,975,69.74,790,154,14,1,3,0,0
Grand Rapids City Ward 2 Precinct 26,1783,1226,68.76,811,371,23,2,6,1,0
Grand Rapids City Ward 2 Precinct 27,1400,962,68.71,668,268,16,0,1,1,0
Grand Rapids City Ward 2 Precinct 28,2172,1464,67.4,1020,406,20,1,6,0,0
Grand Rapids City Ward 2 Precinct 29,2107,1112,52.78,807,255,38,2,2,1,0
Grand Rapids City Ward 2 Precinct 30,1757,1434,81.62,1056,331,20,0,9,3,0
Grand Rapids City Ward 2 Precinct 31,2472,1532,61.97,1056,419,28,2,13,3,0
Grand Rapids City Ward 2 Precinct 32,1632,1023,62.68,729,255,29,0,1,2,0
Grand Rapids City Ward 2 Precinct 33,1000,767,76.7,617,131,8,0,2,1,0
Grand Rapids City Ward 2 Precinct 34,2280,1568,68.77,1068,452,26,1,1,4,0
Grand Rapids City Ward 2 Precinct 35,2006,1590,79.26,929,614,22,4,8,0,0
Grand Rapids City Ward 2 Precinct 36,1170,776,66.32,512,249,6,3,2,2,0
Grand Rapids City Ward 2 Precinct 37,2590,2034,78.53,1274,705,28,4,6,2,0
Grand Rapids City Ward 2 Precinct 38,3147,2069,65.75,1557,455,33,1,6,2,0
Grand Rapids City Ward 2 Precinct 39,1103,701,63.55,584,88,20,1,3,1,0
Grand Rapids City Ward 2 Precinct,40,2011,1468,73,1216,209,17,2,8,1
Grand Rapids City Ward 2 Precinct 41,2583,1916,74.18,1075,789,27,2,7,1,0
Grand Rapids City Ward 2 Precinct 42,2015,1609,79.85,1056,501,32,3,4,0,0
Grand Rapids City Ward 2 Precinct 43,1919,1476,76.92,901,529,28,3,5,1,0
Grand Rapids City Ward 2 Precinct 44,2019,1527,75.63,856,618,29,7,4,2,0
Grand Rapids City Ward 2 Precinct 45,2230,1763,79.06,953,749,31,3,3,1,0
Grand Rapids City Ward 2 Precinct 46,2456,1650,67.18,1014,587,23,1,3,3,0
Grand Rapids City Ward 2 Precinct 47,1847,1519,82.24,975,509,14,1,5,0,0
Grand Rapids City Ward 2 Precinct 48,1698,1126,66.31,877,213,19,1,7,0,0
Grand Rapids City Ward 2 Precinct 49,2224,1440,64.75,1156,234,31,1,7,5,0
Grand Rapids City Ward 2 Precinct 50,2528,1718,67.96,1458,194,44,1,14,0,0
Grand Rapids City Ward 3 Precinct 51,1978,1224,61.88,846,357,15,1,0,0,0
Grand Rapids City Ward 3 Precinct 52,992,620,62.5,543,57,6,0,3,0,0
Grand Rapids City Ward 3 Precinct 53,2847,1988,69.83,1188,735,31,2,6,1,0
Grand Rapids City Ward 3 Precinct 54,1594,1183,74.22,694,449,17,1,3,0,0
Grand Rapids City Ward 3 Precinct 55,2274,1776,78.1,1134,595,16,4,6,0,0
Grand Rapids City Ward 3 Precinct 56,2102,1579,75.12,988,546,27,2,3,0,0
Grand Rapids City Ward 3 Precinct 57,1356,994,73.3,675,291,8,4,3,0,0
Grand Rapids City Ward 3 Precinct 58,2045,1514,74.03,953,522,19,2,2,1,0
Grand Rapids City Ward 3 Precinct 59,2518,1932,76.73,1379,492,32,1,2,1,0
Grand Rapids City Ward 3 Precinct 60,2591,1607,62.02,1372,200,15,2,7,2,0
Grand Rapids City Ward 3 Precinct 61,943,686,72.75,540,133,8,2,1,1,0
Grand Rapids City Ward 3 Precinct 62,1951,1090,55.87,919,139,18,0,5,1,0
Grand Rapids City Ward 3 Precinct 63,1992,1159,58.18,976,154,17,2,3,1,0
Grand Rapids City Ward 3 Precinct 64,2207,1195,54.15,915,243,19,0,7,1,0
Grand Rapids City Ward 3 Precinct 65,2143,1250,58.33,919,299,13,2,6,0,0
Grand Rapids City Ward 3 Precinct 66,2538,610,24.03,535,63,6,0,4,0,0
Grand Rapids City Ward 3 Precinct 67,3004,1407,46.84,1252,117,12,0,9,4,0
Grand Rapids City Ward 3 Precinct 68,1705,1280,75.07,1040,209,16,1,2,1,0
Grand Rapids City Ward 3 Precinct 69,1437,1140,79.33,632,476,14,4,1,0,0
Grand Rapids City Ward 3 Precinct 70,1957,908,46.4,810,74,9,1,2,1,0
Grand Rapids City Ward 3 Precinct 71,1785,1177,65.94,954,189,18,2,1,1,0
Grand Rapids City Ward 3 Precinct 72,932,719,77.15,507,183,23,0,3,0,0
Grand Rapids City Ward 3 Precinct 73,1174,919,78.28,628,268,12,4,2,1,0
Grand Rapids City Ward 3 Precinct 74,1455,1010,69.42,727,243,21,3,3,0,0
Grand Rapids City Ward 3 Precinct 75,1362,827,60.72,698,105,15,0,0,0,0
Grand Rapids City Ward 3 Precinct 76,1642,854,52.01,767,71,9,0,2,0,0
Grand Rapids City Ward 3 Precinct 77,1393,1121,80.47,779,302,15,0,4,1,0
Grandville City Precinct 1,2043,1590,77.83,771,766,39,0,4,1,0
Grandville City Precinct 2,2123,1558,73.39,698,807,36,2,9,0,0
Grandville City Precinct 3,2273,1764,77.61,671,1035,31,2,6,1,0
Grandville City Precinct 4,2091,1788,85.51,710,1029,24,4,3,1,0
Grandville City Precinct 5,2302,1821,79.11,733,1027,33,4,4,2,0
Grandville City Precinct 6,1818,1449,79.7,609,806,20,0,3,3,0
Grattan Township Precinct 1,1633,1262,77.28,373,855,16,1,5,1,0
Grattan Township Precinct 2,1737,1418,81.64,561,819,18,3,2,2,0
Kentwood City Ward 1 Precinct 1,2302,1387,60.25,783,569,15,2,4,2,0
Kentwood City Ward 1 Precinct 2,3016,2186,72.48,1195,922,42,4,6,4,0
Kentwood City Ward 1 Precinct 3,1659,1233,74.32,676,518,20,4,2,2,0
Kentwood City Ward 1 Precinct 4,1520,913,60.07,516,378,10,0,2,1,0
Kentwood City Ward 1 Precinct 5,1296,847,65.35,439,379,16,4,4,0,0
Kentwood City Ward 1 Precinct 6,2561,1568,61.23,825,708,20,1,5,0,0
Kentwood City Ward 1 Precinct 7,2169,1464,67.5,929,507,19,0,2,1,0
Kentwood City Ward 1 Precinct 8,2525,1980,78.42,1125,795,25,2,8,0,0
Kentwood City Ward 1 Precinct 9,2372,1563,65.89,942,563,30,2,9,0,0
Kentwood City Ward 2 Precinct 10,2411,1846,76.57,1051,753,21,2,2,3,0
Kentwood City Ward 2 Precinct 11,3154,2377,75.36,1410,905,31,4,2,2,0
Kentwood City Ward 2 Precinct 12,1814,1330,73.32,842,461,12,2,3,0,0
Kentwood City Ward 2 Precinct 13,2153,1483,68.88,857,596,11,2,6,1,0
Kentwood City Ward 2 Precinct 14,886,636,71.78,393,225,11,0,1,0,0
Kentwood City Ward 2 Precinct 15,3164,1883,59.51,1311,524,19,3,7,1,0
Kentwood City Ward 2 Precinct 16,2805,2222,79.22,1284,879,26,0,5,0,0
Kentwood City Ward 2 Precinct 17,1801,1023,56.8,714,285,8,2,3,0,0
Kentwood City Ward 2 Precinct 18,2285,1340,58.64,916,382,29,1,5,1,0
Lowell Charter Township Precinct 1,2604,2080,79.88,757,1256,37,5,5,1,0
Lowell Charter Township Precinct 2,2521,1869,74.14,841,964,40,4,4,2,0
Lowell City Precinct 1,1686,1223,72.54,588,589,26,2,7,3,0
Lowell City Precinct 2,1538,997,64.82,411,555,18,3,3,0,0
Nelson Township Precinct 1,2082,1451,69.69,417,999,25,3,1,1,0
Nelson Township Precinct 2,1772,1363,76.92,420,904,27,3,1,1,0
Oakfield Township Precinct 1,1633,1266,77.53,453,791,14,1,1,0,0
Oakfield Township Precinct 2,1968,1426,72.46,463,933,23,1,1,0,0
Oakfield Township Precinct 3,1456,1094,75.14,388,680,17,0,2,0,0
Plainfield Charter Township Precinct 1,2804,2358,84.09,998,1298,31,2,3,2,0
Plainfield Charter Township Precinct 2,2556,2023,79.15,808,1165,32,2,4,0,0
Plainfield Charter Township Precinct 3,2208,1498,67.84,741,710,35,2,5,3,0
Plainfield Charter Township Precinct 4,2461,1814,73.71,936,828,31,0,6,1,0
Plainfield Charter Township Precinct 5,2238,1737,77.61,820,867,30,5,6,3,0
Plainfield Charter Township Precinct 6,3310,2627,79.37,1059,1504,33,7,3,0,0
Plainfield Charter Township Precinct 7,3016,2448,81.17,1142,1255,17,1,9,3,0
Plainfield Charter Township Precinct 8,2948,2276,77.2,1125,1089,43,2,7,0,0
Plainfield Charter Township Precinct 9,2676,2090,78.1,903,1140,21,5,3,3,0
Plainfield Charter Township Precinct 10,1886,1604,85.05,686,872,26,1,4,1,0
Plainfield Charter Township Precinct 11,1836,1560,84.97,681,827,25,1,2,0,0
Rockford City Precinct 1,1984,1510,76.11,755,718,20,3,4,2,0
Rockford City Precinct 2,2718,2271,83.55,1159,1053,34,2,4,1,0
Solon Township Precinct 1,2005,1484,74.01,469,993,13,3,0,0,0
Solon Township Precinct 2,3053,2231,73.08,666,1499,46,4,8,2,0
Sparta Township Precinct 1,3274,2236,68.3,896,1265,39,6,6,3,0
Sparta Township Precinct 2,1713,1271,74.2,362,873,17,3,5,0,0
Sparta Township Precinct 3,2145,1567,73.05,511,1025,17,2,3,1,0
Spencer Township Precinct 1,2010,1540,76.62,455,1051,20,0,4,0,0
Spencer Township Precinct 2,1376,1054,76.6,259,779,7,3,3,0,0
Tyrone Township Precinct 1,1932,1429,73.96,365,1031,17,3,5,0,0
Tyrone Township Precinct 2,1700,1129,66.41,303,793,23,5,3,0,0
Vergennes Township Precinct 1,2008,1762,87.75,619,1100,25,4,3,3,0
Vergennes Township Precinct 2,1728,1458,84.38,559,858,23,2,5,0,0
Walker City Ward 1 Precinct 1,2259,1379,61.04,800,545,16,2,8,3,0
Walker City Ward 1 Precinct 2,1835,1419,77.33,647,734,24,1,1,3,0
Walker City Ward 1 Precinct 3,2158,1612,74.7,800,777,23,2,6,0,0
Walker City Ward 2 Precinct 4,2488,1995,80.18,834,1109,35,1,4,0,0
Walker City Ward 2 Precinct 5,2039,1661,81.46,697,917,24,5,6,2,0
Walker City Ward 2 Precinct 6,2044,1524,74.56,662,829,11,3,6,1,0
Walker City Ward 3 Precinct 7,2149,1709,79.53,771,876,28,5,3,0,0
Walker City Ward 3 Precinct 8,2017,1672,82.9,597,1027,36,3,2,0,0
Walker City Ward 3 Precinct 9,2154,1655,76.83,781,828,30,2,5,1,0
Wyoming City Ward 1 Precinct 1,1955,1216,62.2,706,483,17,1,6,1,0
Wyoming City Ward 1 Precinct 2,1408,722,51.28,415,284,17,1,1,0,0
Wyoming City Ward 1 Precinct 3,2310,1317,57.01,773,516,12,4,2,4,0
Wyoming City Ward 1 Precinct 4,2146,783,36.49,292,471,13,1,1,0,0
Wyoming City Ward 1 Precinct 5,2255,1435,63.64,827,567,21,3,7,1,0
Wyoming City Ward 1 Precinct 6,1712,1006,58.76,549,433,17,1,2,2,0
Wyoming City Ward 1 Precinct 7,2094,1497,71.49,679,782,15,1,5,2,0
Wyoming City Ward 1 Precinct 8,1383,787,56.91,407,346,19,1,4,0,0
Wyoming City Ward 1 Precinct 9,2506,1400,55.87,826,532,28,2,4,1,0
Wyoming City Ward 2 Precinct 10,1715,984,57.38,610,342,14,1,5,1,0
Wyoming City Ward 2 Precinct 11,1589,855,53.81,592,233,17,0,4,3,0
Wyoming City Ward 2 Precinct 12,1415,775,54.77,480,275,11,1,3,0,0
Wyoming City Ward 2 Precinct 13,1768,1120,63.35,570,509,21,5,5,0,0
Wyoming City Ward 2 Precinct 14,1252,886,70.77,420,426,26,1,4,0,0
Wyoming City Ward 2 Precinct 15,1022,686,67.12,349,317,11,0,4,0,0
Wyoming City Ward 2 Precinct 16,1420,957,67.39,465,455,18,1,3,1,0
Wyoming City Ward 2 Precinct 17,2161,1116,51.64,730,353,17,1,5,2,0
Wyoming City Ward 2 Precinct 18,1286,863,67.11,457,387,10,2,1,0,0
Wyoming City Ward 2 Precinct 19,2032,1379,67.86,753,582,31,2,6,0,0
Wyoming City Ward 2 Precinct 20,2106,1343,63.77,732,576,18,7,1,2,0
Wyoming City Ward 3 Precinct 21,2469,1712,69.34,823,843,27,2,7,1,0
Wyoming City Ward 3 Precinct 22,1417,955,67.4,504,432,11,0,3,1,0
Wyoming City Ward 3 Precinct 23,2515,1478,58.77,866,566,23,4,5,0,0
Wyoming City Ward 3 Precinct 24,2472,1600,64.72,773,779,33,0,2,1,0
Wyoming City Ward 3 Precinct 25,1783,1451,81.38,597,813,24,3,2,0,0
Wyoming City Ward 3 Precinct 26,1349,971,71.98,526,419,18,0,2,0,0
Wyoming City Ward 3 Precinct 27,1310,967,73.82,461,476,15,0,3,0,0
Wyoming City Ward 3 Precinct 28,2183,1784,81.72,761,981,28,1,2,0,0
Wyoming City Ward 3 Precinct 29,1839,1538,83.63,677,821,27,3,1,0,0
Wyoming City Ward 3 Precinct 30,2198,1824,82.98,698,1088,21,2,3,0,0