precinct,registered_voters,ballots_cast,turnout,joseph_r_biden_w_kamala_d_harris_dem,donald_j_trump__michael_r_pence_rep,jo_jorgensen_w_jeremy_cohen,don_blankenship_w_william_mohr,howie_hawkins_w_angela_walker,rocky_de_la_fuente_w_darcy_richardson,total_write_in
Algonac City Precinct 1,1538,1134,73.73,350,764,9,1,2,1,0
Algonac City Precinct 2,1996,1345,67.38,386,916,24,3,4,1,2
Berlin Township Precinct 1,2521,1996,79.17,437,1523,21,2,6,0,1
Brockway Township Precinct 1,1611,1187,73.68,255,919,4,1,1,1,3
Burtchville Township Precinct 2,1606,1192,74.22,420,755,7,1,2,1,3
Burtchville Township Precinct 3,1928,1234,64,516,680,23,0,4,1,3
Casco Township Precinct 1,1656,1027,62.02,275,732,10,2,4,2,0
Casco Township Precinct 2,1659,1315,79.26,348,937,13,3,4,0,2
China Township Precinct 1,1667,1268,76.06,395,843,12,2,4,0,3
China Township Precinct 2,1326,953,71.87,247,691,11,0,1,0,1
Clay Township Precinct 1,2488,1712,68.81,424,1261,16,2,1,0,2
Clay Township Precinct 3,2003,1582,78.98,396,1171,9,0,1,0,0
Clay Township Precinct 4,1049,850,81.03,245,591,9,0,0,0,1
Clay Township Precinct 5,2386,1748,73.26,453,1270,11,3,2,1,1
Clyde Township Precinct 1,2918,2222,76.15,732,1446,20,6,3,1,5
Clyde Township Precinct 2,1778,1257,70.7,366,873,10,0,2,0,3
Columbus Township Precinct 1,1998,1574,78.78,322,1220,21,0,2,0,4
Columbus Township Precinct 3,1353,990,73.17,265,702,18,1,0,0,2
Cottrellville Township Precinct 1,2929,2169,74.05,580,1545,26,2,5,0,1
East China Township Precinct 1,3276,2495,76.16,830,1604,27,3,8,2,3
Emmett Township Precinct 1,2036,1585,77.85,408,1145,17,2,1,0,3
Fort Gratiot Township Precinct 1,2665,1851,69.46,852,960,16,5,1,3,4
Fort Gratiot Township Precinct 2,2304,1619,70.27,609,968,19,4,4,3,4
Fort Gratiot Township Precinct 3,1798,1285,71.47,521,741,9,3,2,0,3
Fort Gratiot Township Precinct 4,3081,2235,72.54,871,1308,35,4,8,0,1
Grant Township Precinct 1,1553,1168,75.21,320,829,9,0,1,2,1
Greenwood Township Precinct 1,1195,892,74.64,243,629,12,1,2,1,0
Ira Township Precinct 1,2052,1370,66.76,429,904,18,2,7,2,1
Ira Township Precinct 2,2009,1573,78.3,337,1202,17,3,4,1,3
Kenockee Township Precinct 1,2021,1458,72.14,375,1065,15,1,1,0,0
Kimball Township Precinct 1,2202,1390,63.12,451,906,25,0,2,2,1
Kimball Township Precinct 2,2904,1872,64.46,609,1217,26,5,1,1,4
Kimball Township Precinct 3,3066,2065,67.35,598,1421,29,3,3,0,2
Lynn Township Precinct 1,978,735,75.15,179,544,9,1,0,0,0
Marine City Precinct 1,1631,1118,68.55,441,641,19,3,4,1,4
Marine City Precinct 2,1913,1187,62.05,411,752,7,4,0,2,2
Marysville City Precinct 1,2547,1754,68.87,659,1053,26,2,3,0,3
Marysville City Precinct 2,1972,1372,69.57,570,755,21,3,7,1,7
Marysville City Precinct 3,1802,1334,74.03,468,837,16,1,2,1,3
Marysville City Precinct 4,2313,1685,72.85,684,970,19,0,1,0,0
Memphis City Precinct 2,265,201,75.85,69,124,7,0,0,0,0
Mussey Township Precinct 1,3287,2234,67.96,620,1583,18,5,4,1,0
Port Huron City Precinct 1,2142,1477,68.95,752,696,12,2,4,0,1
Port Huron City Precinct 2,1973,1449,73.44,700,710,11,5,10,3,4
Port Huron City Precinct 3,2182,1550,71.04,691,825,23,3,3,1,1
Port Huron City Precinct 4,2375,1269,53.43,569,654,27,5,6,0,3
Port Huron City Precinct 5,2186,1055,48.26,528,501,12,2,5,4,3
Port Huron City Precinct 6,2441,1292,52.93,601,654,19,3,2,4,3
Port Huron City Precinct 7,2459,937,38.1,493,401,18,4,11,2,5
Port Huron City Precinct 8,2672,1377,51.53,679,656,23,0,7,3,6
Port Huron City Precinct 9,2374,1306,55.01,652,626,17,1,3,2,2
Port Huron City Precinct 10,2375,1168,49.18,692,442,16,4,8,2,0
Port Huron Township Precinct 1,2244,1567,69.83,578,963,10,3,4,0,0
Port Huron Township Precinct 2,2085,1534,73.57,561,937,20,2,4,0,3
Port Huron Township Precinct 3,2002,1172,58.54,455,695,11,1,1,0,2
Port Huron Township Precinct 4,2215,1094,49.39,464,598,23,1,3,1,1
Richmond City Precinct 1,3,1,33.33,0,1,0,0,0,0,0
Riley Township Precinct 1,2668,2082,78.04,450,1597,23,1,4,0,2
St. Clair City Precinct 1,1510,1175,77.81,431,707,19,2,4,1,4
St. Clair City Precinct 2,1579,1190,75.36,464,699,15,3,1,0,2
St. Clair City Precinct 3,1501,1087,72.42,409,651,16,2,3,0,1
St. Clair Township Precinct 1,3075,2472,80.39,814,1615,26,1,6,0,1
St. Clair Township Precinct 2,2839,2158,76.01,593,1519,26,1,1,0,4
Wales Township Precinct 1,2666,2019,75.73,529,1429,33,4,8,2,4
Yale City Precinct 1,1402,931,66.41,292,613,19,0,1,2,1